"","Region","Subregion","Country","Rate","Count","Year"
"368","Asia","Western Asia","Armenia","5.44","157","2012"
"369","Asia","Western Asia","Azerbaijan","1.42","132","2012"
"370","Asia","Western Asia","Bahrain",NA,NA,"2012"
"371","Asia","Western Asia","Cyprus","13.04","148","2012"
"372","Asia","Western Asia","Georgia",NA,NA,"2012"
"373","Asia","Western Asia","Israel",NA,NA,"2012"
"374","Asia","Western Asia","Jordan",NA,NA,"2012"
"375","Asia","Western Asia","Kuwait",NA,NA,"2012"
"376","Asia","Western Asia","Lebanon","156.34","8658","2012"
"377","Asia","Western Asia","Oman",NA,NA,"2012"
"378","Asia","Western Asia","Qatar",NA,NA,"2012"
"379","Asia","Western Asia","Saudi Arabia",NA,NA,"2012"
"380","Asia","Western Asia","State of Palestine","8.18","347","2012"
"381","Asia","Western Asia","Syrian Arab Republic",NA,NA,"2012"
"382","Asia","Western Asia","Turkey","351.41","262330","2012"
"383","Asia","Western Asia","United Arab Emirates","4.13","378","2012"
"384","Asia","Western Asia","Yemen",NA,NA,"2012"
"385","Europe","Eastern Europe","Belarus","9.6300000000000008","907","2012"
"386","Europe","Eastern Europe","Bulgaria","32.86","2410","2012"
"387","Europe","Eastern Europe","Czech Republic","173.5","18358","2012"
"388","Europe","Eastern Europe","Hungary","141.66","13973","2012"
"389","Europe","Eastern Europe","Poland","25.43","9721","2012"
"390","Europe","Eastern Europe","Republic of Moldova","7.97","325","2012"
"391","Europe","Eastern Europe","Romania","85.13","17219","2012"
"392","Europe","Eastern Europe","Russian Federation","20.170000000000002","29045","2012"
"393","Europe","Eastern Europe","Slovakia","40.31","2183","2012"
"394","Europe","Eastern Europe","Ukraine",NA,NA,"2012"
"395","Europe","Northern Europe","Denmark","170.33","9557","2012"
"396","Europe","Northern Europe","Estonia","7.48","99","2012"
"397","Europe","Northern Europe","Finland","34.61","1874","2012"
"398","Europe","Northern Europe","Iceland","22.7","74","2012"
"399","Europe","Northern Europe","Ireland","294.39999999999998","13566","2012"
"400","Europe","Northern Europe","Latvia","64.040000000000006","1325","2012"
"401","Europe","Northern Europe","Lithuania","5.84","178","2012"
"402","Europe","Northern Europe","Norway","55.46","2781","2012"
"403","Europe","Northern Europe","Sweden","55.94","5338","2012"
"404","Europe","Southern Europe","Albania","5.35","156","2012"
"405","Europe","Southern Europe","Andorra","198.78","163","2012"
"406","Europe","Southern Europe","Bosnia and Herzegovina","17.14","618","2012"
"407","Europe","Southern Europe","Croatia","21.02","903","2012"
"408","Europe","Southern Europe","Greece","15.69","1692","2012"
"409","Europe","Southern Europe","Holy See","0","0","2012"
"410","Europe","Southern Europe","Italy","116.11","69527","2012"
"411","Europe","Southern Europe","Malta","41.23","174","2012"
"412","Europe","Southern Europe","Montenegro","26.84","168","2012"
"413","Europe","Southern Europe","North Macedonia","10.17","211","2012"
"414","Europe","Southern Europe","Portugal","6.66","701","2012"
"415","Europe","Southern Europe","Serbia","14.8","1323","2012"
"416","Europe","Southern Europe","Slovenia","98.74","2032","2012"
"417","Europe","Southern Europe","Spain","36.869999999999997","17353","2012"
"418","Europe","Western Europe","Austria","47.4","4030","2012"
"419","Europe","Western Europe","Belgium","652.34","72312","2012"
"420","Europe","Western Europe","France","364.57","231733","2012"
"421","Europe","Western Europe","Germany","168.05","136077","2012"
"422","Europe","Western Europe","Liechtenstein","186.49","69","2012"
"423","Europe","Western Europe","Luxembourg","563.84","2994","2012"
"424","Europe","Western Europe","Monaco",NA,NA,"2012"
"425","Europe","Western Europe","Netherlands","341.23","57300","2012"
"426","Europe","Western Europe","Switzerland","7.46","597","2012"
"427","Oceania","Australia and New Zealand","Australia","278.16000000000003","63709","2012"
"428","Oceania","Australia and New Zealand","New Zealand","227.51","10165","2012"
"429","Oceania","Melanesia","Solomon Islands",NA,NA,"2012"
"430","Africa","Eastern Africa","Burundi","4.5199999999999996","431","2013"
"431","Africa","Eastern Africa","Kenya","30.04","13674","2013"
"432","Africa","Eastern Africa","Madagascar","11.95","2744","2013"
"433","Africa","Eastern Africa","Mauritius",NA,NA,"2013"
"434","Africa","Eastern Africa","Mozambique",NA,NA,"2013"
"435","Africa","Eastern Africa","Rwanda","30.51","3299","2013"
"436","Africa","Eastern Africa","Uganda","46.79","16702","2013"
"437","Africa","Eastern Africa","United Republic of Tanzania",NA,NA,"2013"
"438","Africa","Eastern Africa","Zimbabwe",NA,NA,"2013"
"439","Africa","Middle Africa","Cameroon","25.5","5630","2013"
"440","Africa","Middle Africa","Sao Tome and Principe",NA,NA,"2013"
"441","Africa","Northern Africa","Algeria","142.82","54472","2013"
"442","Africa","Northern Africa","Egypt",NA,NA,"2013"
"443","Africa","Northern Africa","Morocco","200.98","67763","2013"
"444","Africa","Southern Africa","Botswana",NA,NA,"2013"
"445","Africa","Southern Africa","Eswatini",NA,NA,"2013"
"446","Africa","Southern Africa","Lesotho",NA,NA,"2013"
"447","Africa","Southern Africa","South Africa",NA,NA,"2013"
"448","Africa","Western Africa","Benin",NA,NA,"2013"
